label	C1	C2	H2
X165b	14.49	21.446	0.835
X166	27.669	14.49	0.724
X166b	14.49	27.669	0.78
X167	26.534	25.348	0.578
X167b	25.348	26.534	0.593
X168	19.382	25.348	0.578
X168b	25.348	19.382	0.23
X169	17.697	25.348	0.578
X169b	25.348	17.697	-0.834
X170	21.619	25.348	0.578
X170b	25.348	21.619	0.737
X171	18.891	25.348	0.578
X171b	25.348	18.891	0.687
X172	24.923	25.348	0.578
X172b	25.348	24.923	1.134
X173	17.974	25.348	0.578
X173b	25.348	17.974	0.916
X174	21.619	26.534	0.593
X174b	26.534	21.619	0.737
X175	18.891	26.534	0.593
X175b	26.534	18.891	0.687
X176	24.923	26.534	0.593
X176b	26.534	24.923	1.134
X177	17.974	26.534	0.593
X177b	26.534	17.974	0.916
X178	17.697	19.382	0.23
X178b	19.382	17.697	-0.834
X179	21.619	19.382	0.23
X179b	19.382	21.619	0.737
X180	18.891	19.382	0.23
X180b	19.382	18.891	0.687
X181	13.602	19.382	0.23
X181b	19.382	13.602	0.655
X182	21.619	17.697	-0.834
X182b	17.697	21.619	0.737
X183	13.602	17.697	-0.834
X183b	17.697	13.602	0.655
X184	17.974	17.697	-0.834
X184b	17.697	17.974	0.916
X185	18.891	21.619	0.737
X185b	21.619	18.891	0.687
X186	26.885	21.619	0.737
X186b	21.619	26.885	0.876
X187	22.419	21.619	0.737
X187b	21.619	22.419	0.655
X188	25.478	21.619	0.737
X188b	21.619	25.478	0.93
X189	22.086	21.619	0.737
X189b	21.619	22.086	0.633
X190	22.419	18.891	0.687
X190b	18.891	22.419	0.655
X191	24.322	24.941	0.572
X191b	24.941	24.322	0.607
X192	25.478	24.941	0.572
X192b	24.941	25.478	0.93
X193	24.044	24.941	0.572
X193b	24.941	24.044	0.778
X194	23.575	24.941	0.572
X194b	24.941	23.575	1.052
X195	25.239	24.941	0.572
X195b	24.941	25.239	0.821
X196	25.13	24.941	0.572
X196b	24.941	25.13	0.938
X197	24.015	24.941	0.572
X197b	24.941	24.015	0.807
X198	25.478	24.322	0.607
X198b	24.322	25.478	0.93
X199	24.044	24.322	0.607
X199b	24.322	24.044	0.778
X200	23.575	24.322	0.607
X200b	24.322	23.575	1.052
X201	25.239	24.322	0.607
X201b	24.322	25.239	0.821
X202	25.13	24.322	0.607
X202b	24.322	25.13	0.938
X203	24.015	24.322	0.607
X203b	24.322	24.015	0.807
X204	26.304	23.192	0.768
X204b	23.192	26.304	0.748
X205	27.936	23.192	0.768
X205b	23.192	27.936	0.456
X206	21.862	23.192	0.768
X206b	23.192	21.862	-0.448
X207	13.61	23.192	0.768
X207b	23.192	13.61	0.262
X208	21.207	23.192	0.768
X208b	23.192	21.207	0.848
X209	22.279	23.192	0.768
X209b	23.192	22.279	1.178
X210	25.567	23.192	0.768
X210b	23.192	25.567	1.376
X211	19.992	23.192	0.768
X211b	23.192	19.992	0.651
X212	22.279	23.192	0.768
X212b	23.192	22.279	0.898
X213	21.02	23.192	0.768
X213b	23.192	21.02	0.924
X214	25.18	23.192	0.768
X214b	23.192	25.18	0.572
X215	21.491	23.192	0.768
X215b	23.192	21.491	0.25
X216	25.237	23.192	0.768
X216b	23.192	25.237	0.781
X217	20.492	23.192	0.768
X217b	23.192	20.492	0.261
X218	27.936	26.304	0.748
X218b	26.304	27.936	0.456
X219	21.862	26.304	0.748
X219b	26.304	21.862	-0.448
X220	21.207	26.304	0.748
X220b	26.304	21.207	0.848
X221	22.279	26.304	0.748
X221b	26.304	22.279	1.178
X222	25.567	26.304	0.748
X222b	26.304	25.567	1.376
X223	23.827	26.304	0.748
X223b	26.304	23.827	0.842
X224	13.747	26.304	0.748
X224b	26.304	13.747	0.503
X225	19.992	26.304	0.748
X225b	26.304	19.992	0.651
X226	21.191	26.304	0.748
X226b	26.304	21.191	0.648
X227	22.279	26.304	0.748
X227b	26.304	22.279	0.898
X228	21.02	26.304	0.748
X228b	26.304	21.02	0.924
X229	21.491	26.304	0.748
X229b	26.304	21.491	0.25
X230	25.237	26.304	0.748
X230b	26.304	25.237	0.781
X231	20.492	26.304	0.748
X231b	26.304	20.492	0.261
X232	21.862	27.936	0.456
X232b	27.936	21.862	-0.448
X233	13.61	27.936	0.456
X233b	27.936	13.61	0.262
X234	11.341	27.936	0.456
X234b	27.936	11.341	0.39
X235	21.207	27.936	0.456
X235b	27.936	21.207	0.848
X236	22.805	27.936	0.456
X236b	27.936	22.805	0.924
X237	14.215	27.936	0.456
X237b	27.936	14.215	0.831
X238	22.279	27.936	0.456
X238b	27.936	22.279	1.178
X239	25.567	27.936	0.456
X239b	27.936	25.567	1.376
X240	25.18	27.936	0.456
X240b	27.936	25.18	0.572
X241	21.491	27.936	0.456
X241b	27.936	21.491	0.25
X242	25.237	27.936	0.456
X242b	27.936	25.237	0.781
X243	20.492	27.936	0.456
X243b	27.936	20.492	0.261
X244	13.61	21.862	-0.448
X244b	21.862	13.61	0.262
X245	11.341	21.862	-0.448
X245b	21.862	11.341	0.39
X246	21.207	21.862	-0.448
X246b	21.862	21.207	0.848
X247	22.805	21.862	-0.448
X247b	21.862	22.805	0.924
X248	25.567	21.862	-0.448
X248b	21.862	25.567	1.376
X249	25.18	21.862	-0.448
X249b	21.862	25.18	0.572
X250	21.491	21.862	-0.448
X250b	21.862	21.491	0.25
X251	25.237	21.862	-0.448
X251b	21.862	25.237	0.781
X252	20.492	21.862	-0.448
X252b	21.862	20.492	0.261
X253	11.341	13.61	0.262
X253b	13.61	11.341	0.39
X254	25.18	13.61	0.262
X254b	13.61	25.18	0.572
X255	21.491	13.61	0.262
X255b	13.61	21.491	0.25
X256	25.237	13.61	0.262
X256b	13.61	25.237	0.781
X257	21.207	11.341	0.39
X257b	11.341	21.207	0.848
X258	22.805	11.341	0.39
X258b	11.341	22.805	0.924
X259	22.805	21.207	0.848
X259b	21.207	22.805	0.924
X260	14.215	21.207	0.848
X260b	21.207	14.215	0.831
X261	22.279	21.207	0.848
X261b	21.207	22.279	1.178
X262	25.567	21.207	0.848
X262b	21.207	25.567	1.376
X263	12.276	21.207	0.848
X263b	21.207	12.276	0.756
X264	14.215	22.805	0.924
X264b	22.805	14.215	0.831
X265	25.567	22.805	0.924
X265b	22.805	25.567	1.376
X266	22.279	14.215	0.831
X266b	14.215	22.279	1.178
X267	25.567	14.215	0.831
X267b	14.215	25.567	1.376
X268	12.276	14.215	0.831
X268b	14.215	12.276	0.756
X269	21.191	14.215	0.831
X269b	14.215	21.191	0.648
X270	25.567	22.279	1.178
X270b	22.279	25.567	1.376
X271	23.827	22.279	1.178
X271b	22.279	23.827	0.842
X272	24.407	22.279	1.178
X272b	22.279	24.407	0.715
X273	11.691	22.279	1.178
X273b	22.279	11.691	0.901
X274	19.992	22.279	1.178
X274b	22.279	19.992	0.651
X275	21.191	22.279	1.178
X275b	22.279	21.191	0.648
X276	22.279	22.279	1.178
X276b	22.279	22.279	0.898
X277	20.492	22.279	1.178
X277b	22.279	20.492	0.261
X278	23.827	25.567	1.376
X278b	25.567	23.827	0.842
X279	19.992	25.567	1.376
X279b	25.567	19.992	0.651
X280	21.191	25.567	1.376
X280b	25.567	21.191	0.648
X281	25.237	25.567	1.376
X281b	25.567	25.237	0.781
X282	20.492	25.567	1.376
X282b	25.567	20.492	0.261
X283	26.784	23.827	0.842
X283b	23.827	26.784	0.611
X284	26.758	23.827	0.842
X284b	23.827	26.758	0.726
X285	23.7	23.827	0.842
X285b	23.827	23.7	0.743
X286	25.413	23.827	0.842
X286b	23.827	25.413	0.876
X287	13.747	23.827	0.842
X287b	23.827	13.747	0.503
X288	24.913	23.827	0.842
X288b	23.827	24.913	0.632
X289	24.407	23.827	0.842
X289b	23.827	24.407	0.715
X290	11.691	23.827	0.842
X290b	23.827	11.691	0.901
X291	19.992	23.827	0.842
X291b	23.827	19.992	0.651
X292	21.191	23.827	0.842
X292b	23.827	21.191	0.648
X293	26.758	26.784	0.611
X293b	26.784	26.758	0.726
X294	22.536	26.784	0.611
X294b	26.784	22.536	0.904
X295	25.413	26.784	0.611
X295b	26.784	25.413	0.876
X296	24.834	26.784	0.611
X296b	26.784	24.834	1.069
X297	13.747	26.784	0.611
X297b	26.784	13.747	0.503
X298	28.067	26.758	0.726
X298b	26.758	28.067	1.09
X299	22.536	26.758	0.726
X299b	26.758	22.536	0.904
X300	25.413	26.758	0.726
X300b	26.758	25.413	0.876
X301	24.834	26.758	0.726
X301b	26.758	24.834	1.069
X302	13.747	26.758	0.726
X302b	26.758	13.747	0.503
X303	22.737	24.39	-0.082
X303b	24.39	22.737	0.359
X304	21.75	24.39	-0.082
X304b	24.39	21.75	0.407
X305	23.7	24.39	-0.082
X305b	24.39	23.7	0.743
X306	16.119	24.39	-0.082
X306b	24.39	16.119	0.746
X307	24.801	24.39	-0.082
X307b	24.39	24.801	0.768
X308	22.68	24.39	-0.082
X308b	24.39	22.68	0.501
X309	22.536	24.39	-0.082
X309b	24.39	22.536	0.904
X310	21.75	22.737	0.359
X310b	22.737	21.75	0.407
X311	23.7	22.737	0.359
X311b	22.737	23.7	0.743
X312	26.102	22.737	0.359
X312b	22.737	26.102	0.813
X313	16.119	22.737	0.359
X313b	22.737	16.119	0.746
X314	24.801	22.737	0.359
X314b	22.737	24.801	0.768
X315	22.68	22.737	0.359
X315b	22.737	22.68	0.501
X316	28.067	22.737	0.359
X316b	22.737	28.067	1.09
X317	22.536	22.737	0.359
X317b	22.737	22.536	0.904
X318	25.413	22.737	0.359
X318b	22.737	25.413	0.876
X319	23.7	21.75	0.407
X319b	21.75	23.7	0.743
X320	21.345	21.75	0.407
X320b	21.75	21.345	0.734
X321	18.759	21.75	0.407
X321b	21.75	18.759	0.541
X322	16.119	21.75	0.407
