label	C1	C2	H2	intensity
X92	27.191	25.428	0.904	8.3619e-04
X92b	25.428	27.191	0.971	9.2290e-01
X93	20.503	25.428	0.904	5.0237e-03
X93b	25.428	20.503	0.474	5.0237e-03
X94	17.943	25.428	0.904	8.2969e-04
X94b	25.428	17.943	0.670	8.2969e-04
X95	24.801	24.554	0.751	4.4180e-03
X95b	24.554	24.801	-0.085	4.4180e-03
X96	20.081	24.554	0.751	5.1965e-02
X96b	24.554	20.081	-0.210	5.1965e-02
X97	23.547	24.554	0.751	1.3127e-03
X97b	24.554	23.547	0.823	1.3127e-03
X98	25.333	24.554	0.751	1.2923e-02
X98b	24.554	25.333	0.674	1.2923e-02
X99	20.503	24.554	0.751	2.7241e-03
X99b	24.554	20.503	0.474	2.7241e-03
X100	22.528	24.554	0.751	7.3245e-04
X100b	24.554	22.528	0.738	7.3245e-04
X101	20.637	21.936	0.811	6.8591e-01
X101b	21.936	20.637	0.815	6.8591e-01
X102	26.739	21.936	0.811	1.3561e-03
X102b	21.936	26.739	0.781	1.3561e-03
X103	22.528	21.936	0.811	1.1518e-03
X103b	21.936	22.528	0.738	1.1518e-03
X104	14.656	21.936	0.811	1.3701e-03
X104b	21.936	14.656	0.757	1.3701e-03
X105	20.503	20.637	0.815	1.5731e-03
X105b	20.637	20.503	0.474	1.5731e-03
X106	26.739	20.637	0.815	1.0431e-03
X106b	20.637	26.739	0.781	1.0431e-03
X107	22.528	20.637	0.815	1.8578e-03
X107b	20.637	22.528	0.738	1.8578e-03
X108	14.656	20.637	0.815	1.7370e-02
X108b	20.637	14.656	0.757	6.2229e-02
X109	20.609	20.637	0.815	9.6499e-04
X109b	20.637	20.609	0.530	9.6499e-04
X110	20.081	24.801	-0.085	6.3596e-01
X110b	24.801	20.081	-0.210	6.3596e-01
X111	25.333	24.801	-0.085	3.3167e-02
X111b	24.801	25.333	0.674	1.4921e-03
X112	25.353	24.801	-0.085	3.3167e-02
X112b	24.801	25.353	0.901	3.3167e-02
X113	24.612	24.801	-0.085	7.4171e-03
X113b	24.801	24.612	0.903	7.4171e-03
X114	27.191	24.801	-0.085	9.3634e-03
X114b	24.801	27.191	0.971	9.3634e-03
X115	25.452	24.801	-0.085	2.3224e-03
X115b	24.801	25.452	0.888	2.3224e-03
X116	24.348	24.801	-0.085	1.5436e-03
X116b	24.801	24.348	0.989	1.5436e-03
X117	25.639	24.801	-0.085	8.1612e-04
X117b	24.801	25.639	0.950	8.1612e-04
X118	26.739	24.801	-0.085	2.8421e-02
X118b	24.801	26.739	0.781	2.8421e-02
X119	22.528	24.801	-0.085	3.5392e-02
X119b	24.801	22.528	0.738	3.5392e-02
X120	23.547	20.081	-0.210	1.6306e-03
X120b	20.081	23.547	0.823	1.6306e-03
X121	25.333	20.081	-0.210	1.8627e-02
X121b	20.081	25.333	0.674	1.8627e-02
X122	25.353	20.081	-0.210	1.8627e-02
X122b	20.081	25.353	0.901	3.5308e-03
X123	24.612	20.081	-0.210	1.4730e-03
X123b	20.081	24.612	0.903	1.4730e-03
X124	27.191	20.081	-0.210	2.3319e-03
X124b	20.081	27.191	0.971	2.3319e-03
X125	26.739	20.081	-0.210	1.7974e-03
X125b	20.081	26.739	0.781	1.7974e-03
X126	22.528	20.081	-0.210	3.2124e-03
X126b	20.081	22.528	0.738	3.2124e-03
X127	25.333	23.547	0.823	7.8084e-01
X127b	23.547	25.333	0.674	7.8084e-01
X128	24.612	25.353	0.901	6.7355e-01
X128b	25.353	24.612	0.903	6.7355e-01
X129	27.191	25.353	0.901	4.6903e-03
X129b	25.353	27.191	0.971	4.6903e-03
X130	25.452	25.353	0.901	3.3163e-03
X130b	25.353	25.452	0.888	3.3163e-03
X131	24.348	25.353	0.901	1.9662e-02
X131b	25.353	24.348	0.989	1.9662e-02
X132	25.639	25.353	0.901	1.1998e-02
X132b	25.353	25.639	0.950	1.1998e-02
X133	26.739	25.353	0.901	1.6907e-02
X133b	25.353	26.739	0.781	1.6907e-02
X134	22.528	25.353	0.901	3.5971e-03
X134b	25.353	22.528	0.738	3.5971e-03
X135	20.674	24.612	0.903	1.6639e-03
X135b	24.612	20.674	0.759	1.6639e-03
X136	18.640	24.612	0.903	1.9336e-03
