label	C1	C2	H2	intensity
X168b	24.310	19.690	-0.150	9.4289e-04
X169	25.010	24.310	0.810	2.8712e-02
X169b	24.310	25.010	0.710	2.8712e-02
X170	25.210	24.310	0.810	3.3108e-03
X170b	24.310	25.210	0.670	3.3108e-03
X171	23.980	24.310	0.810	5.6575e-02
X171b	24.310	23.980	0.870	5.6575e-02
X172	26.170	24.310	0.810	8.7613e-03
X172b	24.310	26.170	0.740	8.7613e-03
X173	25.000	24.310	0.810	2.8712e-02
X173b	24.310	25.000	0.970	8.8431e-04
X174	26.030	12.860	0.690	1.3276e-03
X174b	12.860	26.030	0.530	1.3276e-03
X175	19.690	12.860	0.690	1.9549e-03
X175b	12.860	19.690	-0.150	1.9549e-03
X176	21.480	12.860	0.690	1.7738e-03
X176b	12.860	21.480	0.947	1.7738e-03
X177	20.860	12.860	0.690	7.3292e-03
X177b	12.860	20.860	0.854	7.3292e-03
X178	19.690	16.570	0.910	1.3571e-03
X178b	16.570	19.690	-0.150	1.3571e-03
X179	19.690	26.030	0.530	9.4230e-01
X179b	26.030	19.690	-0.150	9.4230e-01
X180	26.870	26.030	0.530	1.0950e-03
X180b	26.030	26.870	0.760	1.0950e-03
X181	23.370	26.030	0.530	1.0074e-02
X181b	26.030	23.370	0.630	1.0074e-02
X182	14.380	26.030	0.530	4.7873e-02
X182b	26.030	14.380	0.419	4.7873e-02
X183	25.010	26.030	0.530	3.8548e-02
X183b	26.030	25.010	0.710	3.8548e-02
X184	25.210	26.030	0.530	2.1069e-02
X184b	26.030	25.210	0.670	2.1069e-02
X185	23.370	19.690	-0.150	1.9227e-03
X185b	19.690	23.370	0.630	1.9227e-03
X186	14.380	19.690	-0.150	1.4732e-02
X186b	19.690	14.380	0.419	1.4732e-02
X187	25.010	19.690	-0.150	2.7789e-03
X187b	19.690	25.010	0.710	2.7789e-03
X188	25.210	19.690	-0.150	3.3468e-03
X188b	19.690	25.210	0.670	3.3468e-03
X189	23.370	26.870	0.760	1.0000e+00
X189b	26.870	23.370	0.630	1.0000e+00
X190	14.380	26.870	0.760	8.7300e-03
X190b	26.870	14.380	0.419	8.7300e-03
X191	25.010	26.870	0.760	3.3587e-03
X191b	26.870	25.010	0.710	3.3587e-03
X192	25.210	26.870	0.760	1.7570e-03
X192b	26.870	25.210	0.670	1.7570e-03
X193	14.380	23.370	0.630	7.9647e-02
X193b	23.370	14.380	0.419	7.9647e-02
X194	25.010	23.370	0.630	1.5090e-02
X194b	23.370	25.010	0.710	1.5090e-02
X195	25.210	23.370	0.630	5.8434e-03
X195b	23.370	25.210	0.670	5.8434e-03
X196	25.010	14.380	0.419	1.7701e-02
X196b	14.380	25.010	0.710	1.7701e-02
X197	25.210	14.380	0.419	5.6837e-02
X197b	14.380	25.210	0.670	5.6837e-02
X198	25.010	21.570	0.940	9.3375e-04
X198b	21.570	25.010	0.710	1.9202e-02
X199	25.210	21.570	0.940	2.5979e-03
X199b	21.570	25.210	0.670	2.5979e-03
X200	25.210	25.010	0.710	8.5837e-01
X200b	25.010	25.210	0.670	8.5837e-01
X201	26.170	23.980	0.870	8.6246e-01
X201b	23.980	26.170	0.740	8.6246e-01
X202	21.480	23.980	0.870	1.4421e-03
X202b	23.980	21.480	0.947	1.4421e-03
X203	20.860	23.980	0.870	2.2509e-03
X203b	23.980	20.860	0.854	2.2509e-03
X204	25.000	23.980	0.870	5.5508e-02
X204b	23.980	25.000	0.970	5.5508e-02
X205	24.040	23.980	0.870	3.6040e-03
X205b	23.980	24.040	0.870	3.6040e-03
X206	25.000	26.170	0.740	4.5481e-02
X206b	26.170	25.000	0.970	4.5481e-02
X207	24.040	26.170	0.740	7.4274e-03
X207b	26.170	24.040	0.870	7.4274e-03
X208	20.860	21.480	0.947	8.3989e-01
X208b	21.480	20.860	0.854	8.3989e-01
X209	25.000	21.480	0.947	2.7066e-03
X209b	21.480	25.000	0.970	2.7066e-03
X210	24.040	21.480	0.947	9.0287e-04
X210b	21.480	24.040	0.870	9.0287e-04
X211	25.000	20.860	0.854	1.3762e-03
X211b	20.860	25.000	0.970	1.3762e-03
X212	24.040	25.000	0.970	8.0459e-01
X212b	25.000	24.040	0.870	8.0459e-01
X213	25.030	25.000	0.970	6.2858e-03
X213b	25.000	25.030	0.930	6.2858e-03
X214	23.380	25.000	0.970	1.0897e-03
X214b	25.000	23.380	0.880	8.7446e-01
X215	25.030	24.040	0.870	8.0459e-01
X215b	24.040	25.030	0.930	2.2700e-02
X216	23.380	24.040	0.870	4.6355e-03
X216b	24.040	23.380	0.880	4.6355e-03
X217	23.380	25.030	0.930	8.7446e-01
X217b	25.030	23.380	0.880	8.7446e-01
