label	C1	C2	H2
X156	26.072	24.947	1.154
X156b	24.947	26.072	0.714
X157	22.385	24.947	1.154
X157b	24.947	22.385	0.092
X158	27.145	24.947	1.154
X158b	24.947	27.145	0.223
X159	26.473	24.947	1.154
X159b	24.947	26.473	0.841
X160	22.69	24.947	1.154
X160b	24.947	22.69	0.476
X161	26.815	8.011	0.477
X161b	8.011	26.815	0.862
X162	24.162	8.011	0.477
X162b	8.011	24.162	1.053
X163	24.397	8.011	0.477
X163b	8.011	24.397	1.064
X164	26.676	8.011	0.477
X164b	8.011	26.676	1.031
X165	14.531	8.011	0.477
X165b	8.011	14.531	0.792
X166	22.086	27.294	0.9
X166b	27.294	22.086	0.308
X167	26.072	27.294	0.9
X167b	27.294	26.072	0.714
X168	24.456	27.294	0.9
X168b	27.294	24.456	0.72
X169	25.171	27.294	0.9
X169b	27.294	25.171	1.31
X170	26.761	27.294	0.9
X170b	27.294	26.761	1.376
X171	26.072	22.086	0.308
X171b	22.086	26.072	0.714
X172	24.456	22.086	0.308
X172b	22.086	24.456	0.72
X173	25.171	22.086	0.308
X173b	22.086	25.171	1.31
X174	26.761	22.086	0.308
X174b	22.086	26.761	1.376
X175	22.385	22.086	0.308
X175b	22.086	22.385	0.092
X176	25.392	22.086	0.308
X176b	22.086	25.392	0.9
X177	27.145	22.086	0.308
X177b	22.086	27.145	0.223
X178	24.162	26.815	0.862
X178b	26.815	24.162	1.053
X179	24.79	26.815	0.862
X179b	26.815	24.79	0.837
X180	22.763	26.815	0.862
X180b	26.815	22.763	0.937
X181	14.531	26.815	0.862
X181b	26.815	14.531	0.792
X182	24.79	24.162	1.053
X182b	24.162	24.79	0.837
X183	22.763	24.162	1.053
X183b	24.162	22.763	0.937
X184	26.676	24.162	1.053
X184b	24.162	26.676	1.031
X185	14.531	24.162	1.053
X185b	24.162	14.531	0.792
X186	22.763	24.79	0.837
X186b	24.79	22.763	0.937
X187	21.738	25.606	0.839
X187b	25.606	21.738	0.797
X188	24.011	25.606	0.839
X188b	25.606	24.011	0.685
X189	27.145	25.606	0.839
X189b	25.606	27.145	0.223
X190	12.554	25.606	0.839
X190b	25.606	12.554	-0.383
X191	24.011	21.738	0.797
X191b	21.738	24.011	0.685
X192	27.145	21.738	0.797
X192b	21.738	27.145	0.223
X193	12.554	21.738	0.797
X193b	21.738	12.554	-0.383
X194	24.456	26.072	0.714
X194b	26.072	24.456	0.72
X195	26.761	26.072	0.714
X195b	26.072	26.761	1.376
X196	22.385	26.072	0.714
X196b	26.072	22.385	0.092
X197	25.392	26.072	0.714
X197b	26.072	25.392	0.9
X198	24.011	26.072	0.714
X198b	26.072	24.011	0.685
X199	27.145	26.072	0.714
X199b	26.072	27.145	0.223
X200	12.554	26.072	0.714
X200b	26.072	12.554	-0.383
X201	26.761	24.456	0.72
X201b	24.456	26.761	1.376
X202	22.385	24.456	0.72
X202b	24.456	22.385	0.092
X203	25.392	24.456	0.72
X203b	24.456	25.392	0.9
X204	24.011	24.456	0.72
X204b	24.456	24.011	0.685
X205	27.145	24.456	0.72
X205b	24.456	27.145	0.223
X206	26.761	25.171	1.31
X206b	25.171	26.761	1.376
X207	22.385	26.761	1.376
X207b	26.761	22.385	0.092
X208	25.392	26.761	1.376
X208b	26.761	25.392	0.9
X209	25.392	22.385	0.092
X209b	22.385	25.392	0.9
X210	24.011	22.385	0.092
X210b	22.385	24.011	0.685
X211	27.145	22.385	0.092
X211b	22.385	27.145	0.223
X212	26.033	22.385	0.092
X212b	22.385	26.033	0.838
X213	21.957	22.385	0.092
X213b	22.385	21.957	0.64
X214	12.554	22.385	0.092
X214b	22.385	12.554	-0.383
X215	22.986	22.385	0.092
X215b	22.385	22.986	0.378
X216	27.145	25.392	0.9
X216b	25.392	27.145	0.223
X217	26.033	25.392	0.9
X217b	25.392	26.033	0.838
X218	21.957	25.392	0.9
X218b	25.392	21.957	0.64
X219	27.43	25.392	0.9
X219b	25.392	27.43	0.915
X220	22.986	25.392	0.9
X220b	25.392	22.986	0.378
X221	27.145	24.011	0.685
X221b	24.011	27.145	0.223
X222	21.957	24.011	0.685
X222b	24.011	21.957	0.64
X223	12.554	24.011	0.685
X223b	24.011	12.554	-0.383
X224	26.033	27.145	0.223
X224b	27.145	26.033	0.838
X225	21.957	27.145	0.223
X225b	27.145	21.957	0.64
X226	12.554	27.145	0.223
X226b	27.145	12.554	-0.383
X227	21.957	26.033	0.838
X227b	26.033	21.957	0.64
X228	12.554	26.033	0.838
X228b	26.033	12.554	-0.383
X229	27.43	26.033	0.838
X229b	26.033	27.43	0.915
X230	22.986	26.033	0.838
X230b	26.033	22.986	0.378
X231	12.554	21.957	0.64
X231b	21.957	12.554	-0.383
X232	22.69	12.554	-0.383
X232b	12.554	22.69	0.476
X233	22.69	26.473	0.841
X233b	26.473	22.69	0.476
X234	22.986	27.43	0.915
X234b	27.43	22.986	0.378
X235	26.676	24.397	1.064
X235b	24.397	26.676	1.031
X236	14.531	24.397	1.064
X236b	24.397	14.531	0.792
X237	14.531	26.676	1.031
X237b	26.676	14.531	0.792
X238	23.627	24.839	0.923
X238b	24.839	23.627	0.919
X239	13.334	24.839	0.923
X239b	24.839	13.334	0.903
X240	25.202	24.839	0.923
X240b	24.839	25.202	0.957
X241	23.105	24.839	0.923
X241b	24.839	23.105	0.899
X242	13.334	23.627	0.919
X242b	23.627	13.334	0.903
X243	25.202	23.627	0.919
X243b	23.627	25.202	0.957
X244	23.105	23.627	0.919
X244b	23.627	23.105	0.899
X245	25.202	13.334	0.903
X245b	13.334	25.202	0.957
X246	23.105	13.334	0.903
X246b	13.334	23.105	0.899
X247	23.105	25.202	0.957
X247b	25.202	23.105	0.899
