label	C1	C2	H2	intensity
X157b	27.907	24.128	0.986	1.5409e-02
X158	27.074	27.907	1.053	5.8913e-02
X158b	27.907	27.074	0.771	5.8913e-02
X159	24.139	27.907	1.053	1.5409e-02
X159b	27.907	24.139	1.024	9.4485e-03
X160	22.483	24.855	0.740	5.0536e-03
X160b	24.855	22.483	0.099	5.0536e-03
X161	25.387	24.855	0.740	7.1026e-02
X161b	24.855	25.387	0.256	7.1026e-02
X162	22.679	24.855	0.740	2.2234e-02
X162b	24.855	22.679	0.881	2.2234e-02
X163	24.128	24.855	0.740	3.1741e-02
X163b	24.855	24.128	0.986	4.9587e-02
X164	27.074	24.855	0.740	6.9314e-03
X164b	24.855	27.074	0.771	6.9314e-03
X165	24.139	24.855	0.740	3.1741e-02
X165b	24.855	24.139	1.024	1.2250e-03
X166	25.387	22.483	0.099	9.7263e-01
X166b	22.483	25.387	0.256	9.7263e-01
X167	25.488	22.483	0.099	7.7338e-03
X167b	22.483	25.488	0.871	7.7338e-03
X168	22.134	22.483	0.099	5.1783e-02
X168b	22.483	22.134	0.704	5.1783e-02
X169	25.595	22.483	0.099	7.9525e-03
X169b	22.483	25.595	0.854	7.9525e-03
X170	13.783	22.483	0.099	2.1027e-03
X170b	22.483	13.783	0.642	2.1027e-03
X171	22.679	22.483	0.099	2.7975e-03
X171b	22.483	22.679	0.881	2.7975e-03
X172	24.128	22.483	0.099	6.8359e-03
X172b	22.483	24.128	0.986	6.8359e-03
X173	22.798	22.483	0.099	2.6932e-03
X173b	22.483	22.798	0.951	3.3360e-05
X174	25.488	25.387	0.256	5.8909e-03
X174b	25.387	25.488	0.871	5.8909e-03
X175	22.134	25.387	0.256	1.3349e-02
X175b	25.387	22.134	0.704	1.3349e-02
X176	25.595	25.387	0.256	1.6222e-03
X176b	25.387	25.595	0.854	1.6222e-03
X177	13.783	25.387	0.256	2.4082e-03
X177b	25.387	13.783	0.642	2.4082e-03
X178	22.679	25.387	0.256	1.1818e-02
X178b	25.387	22.679	0.881	1.1818e-02
X179	24.128	25.387	0.256	6.7811e-02
X179b	25.387	24.128	0.986	6.7811e-02
X180	22.798	25.387	0.256	1.0003e-03
X180b	25.387	22.798	0.951	1.7524e-05
X181	22.134	25.488	0.871	9.5375e-01
X181b	25.488	22.134	0.704	9.5375e-01
X182	25.595	25.488	0.871	3.0450e-03
X182b	25.488	25.595	0.854	3.0450e-03
X183	10.179	25.488	0.871	3.0681e-03
X183b	25.488	10.179	0.680	3.0681e-03
X184	13.783	25.488	0.871	3.0833e-03
X184b	25.488	13.783	0.642	3.0833e-03
X185	22.679	25.488	0.871	1.3347e-02
X185b	25.488	22.679	0.881	1.3347e-02
X186	24.128	25.488	0.871	2.0781e-02
X186b	25.488	24.128	0.986	2.0781e-02
X187	25.107	25.488	0.871	1.4112e-03
X187b	25.488	25.107	0.863	1.4112e-03
X188	23.217	25.488	0.871	1.6824e-03
X188b	25.488	23.217	0.864	1.6824e-03
X189	25.595	22.134	0.704	4.8323e-02
X189b	22.134	25.595	0.854	4.8323e-02
X190	10.179	22.134	0.704	1.3754e-02
X190b	22.134	10.179	0.680	1.3754e-02
