label	C1	C2	H2	intensity
X261	14.270	14.200	0.770	2.4734e-03
X262	14.200	14.270	0.950	2.4734e-03
X263	18.220	14.200	0.770	3.6278e-03
X264	14.200	18.220	1.320	3.6278e-03
X265	26.060	14.200	0.770	1.0020e-01
X266	14.200	26.060	0.690	1.0020e-01
X267	23.760	14.200	0.770	1.7432e-01
X268	14.200	23.760	0.740	1.7432e-01
X269	27.680	14.200	0.770	4.2459e-03
X270	14.200	27.680	1.060	4.2459e-03
X271	22.090	15.140	0.440	8.6525e-04
X272	15.140	22.090	0.510	8.6525e-04
X273	20.580	19.210	1.120	1.0580e-03
X274	19.210	20.580	0.710	1.0580e-03
X275	21.340	19.210	1.120	1.0358e-03
X276	19.210	21.340	0.560	1.0358e-03
X277	22.930	19.210	1.120	3.6764e-03
X278	19.210	22.930	0.810	3.6764e-03
X279	17.420	19.210	1.120	3.6817e-02
X280	19.210	17.420	2.090	3.6817e-02
X281	27.410	18.320	1.280	2.2783e-02
X282	18.320	27.410	0.850	2.2783e-02
X283	22.090	18.320	1.280	2.1177e-03
X284	18.320	22.090	0.510	2.1177e-03
X285	15.030	18.320	1.280	4.3289e-02
X286	18.320	15.030	0.880	4.3289e-02
X287	20.940	26.000	0.650	7.6959e-01
X288	26.000	20.940	0.530	7.6959e-01
X289	27.410	26.000	0.650	1.1653e-03
X290	26.000	27.410	0.850	1.1653e-03
X291	22.090	26.000	0.650	1.7078e-03
X292	26.000	22.090	0.510	1.7078e-03
X293	22.090	20.940	0.530	9.9321e-04
X294	20.940	22.090	0.510	9.9321e-04
X295	18.230	20.940	0.530	2.4312e-03
X296	20.940	18.230	1.220	2.4312e-03
X297	18.930	20.940	0.530	1.4265e-03
X298	20.940	18.930	1.300	1.4265e-03
X299	22.090	27.410	0.850	7.1094e-01
X300	27.410	22.090	0.510	7.1094e-01
X301	19.360	27.410	0.850	8.0879e-04
X302	27.410	19.360	1.190	8.0879e-04
X303	15.030	27.410	0.850	2.1874e-02
X304	27.410	15.030	0.880	2.1874e-02
X305	22.410	27.410	0.850	5.5196e-03
X306	27.410	22.410	1.450	5.5196e-03
X307	18.230	27.410	0.850	7.7880e-04
X308	27.410	18.230	1.220	7.7880e-04
X309	19.360	22.090	0.510	1.7860e-03
X310	22.090	19.360	1.190	1.7860e-03
